title,author,length
The Lies I Told,Mary Burton,Length: 10 hrs and 56 mins
My Evil Mother,Margaret Atwood,Length: 57 mins
Peter the Great,Robert K. Massie,Length: 43 hrs and 38 mins
Chosen Soldier,Dick Couch,Length: 14 hrs and 59 mins
Thank You for Being Late,Thomas L. Friedman,Length: 19 hrs and 47 mins
The Beach,Alex Garland,Length: 11 hrs and 15 mins
The Storm Before the Storm,Mike Duncan,Length: 10 hrs and 13 mins
The Honeys,Ryan La Sala,Length: 10 hrs and 38 mins
Armored,Mark Greaney,Length: 16 hrs and 45 mins
The Boss Project,Vi Keeland,Length: 9 hrs and 4 mins
Crossfire,Lynette Eason,Length: 8 hrs and 20 mins
The Mind of a Bee,Lars Chittka,Length: 7 hrs and 55 mins
Sunshine and Sammy,Melanie Moreland,Length: 7 hrs and 23 mins
Eldest,Christopher Paolini,Length: 23 hrs and 30 mins
And There He Kept Her,Joshua Moehling,Length: 9 hrs and 28 mins
The Secret Life of Albert Entwistle,Matt Cain,Length: 10 hrs and 49 mins
Gangsters vs. Nazis,Michael Benson,Length: 8 hrs and 53 mins
Locked Up Liars,Elle Thorpe,Length: 8 hrs and 41 mins
The Apple Creek Announcement,Wanda E. Brunstetter,Length: 10 hrs and 40 mins
Beyond the Blue,TJ O'Shea,Length: 10 hrs and 16 mins
Fire Heart,Emma Hamm,Length: 10 hrs and 26 mins
A Sacred Oath,Mark T. Esper,Length: 20 hrs and 56 mins
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins
The Four Agreements,don Miguel Ruiz,Length: 2 hrs and 31 mins
A Gentleman in Moscow,Amor Towles,Length: 17 hrs and 52 mins
The Deadly Shallows,Dani Pettrey,Length: 11 hrs and 2 mins
A Light in the Flame,Jennifer L. Armentrout,Length: 24 hrs
The Song in My Heart,Tracey Richardson,Length: 10 hrs and 23 mins
The Sound of Gravel,Ruth Wariner,Length: 9 hrs and 4 mins
Red Rising,Pierce Brown,Length: 16 hrs and 12 mins
Leonardo da Vinci,Walter Isaacson,Length: 17 hrs and 1 min
The Girl Who Loved Tom Gordon,Stephen King,Length: 6 hrs and 29 mins
The Gangster's Guide to Sobriety,"Richie Stephens,John Altschuler,Dave Krinsky",Length: 4 hrs and 29 mins
Selling the Price Increase,Jeb Blount,Length: 6 hrs and 55 mins
Tiny Souls,Phoenix Grey,Length: 10 hrs and 24 mins
The Serial Killer’s Daughter,Alice Hunter,Length: 9 hrs and 24 mins
A Bride's Guide to Marriage and Murder,Dianne Freeman,Length: 8 hrs and 48 mins
The Motorcycle Diaries,"Ernesto Che Guevara,Aleida Guevara - foreword",Length: 5 hrs and 28 mins
Uncharted,S. D. Perry,Length: 8 hrs and 24 mins
An Elephant in the Garden,Michael Morpurgo,Length: 4 hrs and 18 mins
Leading the Unleadable,Alan Willett,Length: 5 hrs and 51 mins
The Real Diana,Lady Colin Campbell,Length: 15 hrs and 50 mins
The Mothers and Daughters of the Bible Speak,Shannon Bream,Length: 7 hrs and 18 mins
Lords of Finance,Liaquat Ahamed,Length: 18 hrs and 32 mins
Strange the Dreamer,Laini Taylor,Length: 18 hrs and 20 mins
War Against All Puerto Ricans,Nelson A. Denis,Length: 9 hrs and 9 mins
To Love Jason Thorn,Ella Maise,Length: 11 hrs and 20 mins
Priestdaddy,Patricia Lockwood,Length: 10 hrs and 12 mins
Illusion Lake,Sheryl Wright,Length: 10 hrs and 13 mins
Jerusalem,Alan Moore,Length: 60 hrs and 42 mins
Seven Years in Tibet,"Heinrich Harrer,Richard Graves",Length: 11 hrs and 38 mins
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
Screw,Lilly Atlas,Length: 13 hrs and 39 mins
Red Dragon,Thomas Harris,Length: 12 hrs and 6 mins
Ghost,Jason Reynolds,Length: 3 hrs and 29 mins
How Not to Hate Your Husband After Kids,Jancee Dunn,Length: 7 hrs and 37 mins
The Beechwood Harbor Magic Mysteries Boxed Set: Books 10-12,Danielle Garrett,Length: 16 hrs and 25 mins
It Ends with Us,Colleen Hoover,Length: 11 hrs and 11 mins
Goodnight,Kelly Fox,Length: 8 hrs and 32 mins
Make Your Bed,William H. McRaven,Length: 1 hr and 53 mins
The Book Thief,Markus Zusak,Length: 13 hrs and 56 mins
Hex,Thomas Olde Heuvelt,Length: 14 hrs and 21 mins
The Mothers,Brit Bennett,Length: 9 hrs and 55 mins
Relentless Strike,Sean Naylor,Length: 19 hrs and 18 mins
Tender Is the Night,F. Scott Fitzgerald,Length: 12 hrs and 36 mins
"Grasping God's Word, Fourth Edition","J. Scott Duvall,J. Daniel Hays",Length: 20 hrs and 14 mins
The Age of the Strongman,Gideon Rachman,Length: 9 hrs and 39 mins
The Tale of Despereaux,Kate DiCamillo,Length: 3 hrs and 30 mins
Angela's Ashes,"Frank McCourt,Jeannette Walls - introduction",Length: 15 hrs and 8 mins
Million Dollar Identity,"Jamie Wolf,Myron Golden,Victoria Kennedy,Dan Ashburn,Eric Beer,Angela Little",Length: 6 hrs and 28 mins
Buddha's Brain,"Rick Hanson,Richard Mendius MD",Length: 6 hrs and 58 mins
The Upward Spiral,Alex Korb PhD.,Length: 5 hrs and 34 mins
"Quotes, Ruminations & Contemplations - Volume II",Corey Wayne,Length: 13 hrs and 48 mins
Gleanings,Neal Shusterman,Length: 11 hrs
Lighter,Yung Pueblo,Length: 8 hrs
A New Earth,Eckhart Tolle,Length: 9 hrs and 12 mins
The Last Unicorn,"Peter S. Beagle,Patrick Rothfuss",Length: 8 hrs and 9 mins
The Fifth Act,Elliot Ackerman,Length: 6 hrs and 16 mins
The Club,Ellery Lloyd,Length: 9 hrs and 22 mins
By the Book,Jasmine Guillory,Length: 9 hrs and 42 mins
Dirty Wicked Prince,Eden O'Neill,Length: 8 hrs and 51 mins
The Great Quest,Os Guinness,Length: 4 hrs and 51 mins
Ashton Scott,Nina Levine,Length: 12 hrs and 3 mins
The Psychedelic Explorer's Guide,James Fadiman PhD,Length: 11 hrs and 35 mins
Grace Under Fire,Julie Garwood,Length: 13 hrs and 19 mins
The Kaiju Preservation Society,John Scalzi,Length: 8 hrs and 2 mins
Run Time,Catherine Ryan Howard,Length: 11 hrs and 2 mins
You Owe You,"Eric Thomas,Chris Paul",Length: 8 hrs
Dark Whispers from the Past,I. T. Lucas,Length: 8 hrs and 30 mins
La inteligencia emocional [Emotional Inteligence],Daniel Goleman,Length: 15 hrs and 6 mins
When He's Sinful,Suzanne Wright,Length: 11 hrs and 48 mins
Juniper Hill,Devney Perry,Length: 8 hrs and 20 mins
Business Is Personal,Bethenny Frankel,Length: 6 hrs and 59 mins
Scarred,Emily McIntire,Length: 10 hrs and 38 mins
Vicious,V. E. Schwab,Length: 9 hrs and 23 mins
ADHD Raising Emotionally Intelligent Kids,Alicia Miller,Length: 29 hrs and 2 mins
Unwanted,Marley Valentine,Length: 5 hrs and 32 mins
The Anatomy of Peace (Fourth Edition),The Arbinger Institute,Length: 7 hrs and 39 mins
With Grimm Resolve,Jeffery H. Haskell,Length: 11 hrs and 53 mins
Gastric Band Hypnosis for Rapid Weight Loss,Mia Rowse,Length: 10 hrs and 48 mins
A Perfect Neighborhood,Liz Alterman,Length: 10 hrs and 29 mins
Global Reset,"Mark Hitchcock,Jeff Kinley",Length: 5 hrs and 4 mins
Inevitable,Shain Rose,Length: 13 hrs and 33 mins
What If Love Is the Point?,"Carlos PenaVega,Alexa PenaVega",Length: 4 hrs and 58 mins
The Right,Matthew Continetti,Length: 14 hrs and 5 mins
Not One Inch,M.E. Sarotte,Length: 15 hrs and 54 mins
The Twice-Dead King: Reign,Nate Crowley,Length: 12 hrs and 3 mins
And a Bottle of Rum,Wayne Curtis,Length: 10 hrs and 7 mins
Uplink Squadron,"J.N. Chaney,Chris Kennedy",Length: 11 hrs and 16 mins
A Forest of Stars,Linsey Hall,Length: 6 hrs and 34 mins
The Shining Girls,Lauren Beukes,Length: 10 hrs and 33 mins
Competing Against Luck,"Clayton M. Christensen,Taddy Hall",Length: 7 hrs and 25 mins
Lucifer's Hammer,"Larry Niven,Jerry Pournelle",Length: 24 hrs and 32 mins
The Swerve,Stephen Greenblatt,Length: 9 hrs and 41 mins
The Devil All the Time,Donald Ray Pollock,Length: 9 hrs and 10 mins
The History of White People,Nell Irvin Painter,Length: 14 hrs and 9 mins
Murder at the Dressmaker's Salon,C.J. Archer,Length: 8 hrs and 26 mins
Rebels at Sea,Eric Jay Dolin,Length: 8 hrs and 41 mins
Happy & Strong,Jaime Villalovos,Length: 6 hrs and 50 mins
Helter Skelter,"Vincent Bugliosi,Curt Gentry",Length: 26 hrs and 29 mins
Total Recall,Arnold Schwarzenegger,Length: 23 hrs and 21 mins
Life 3.0,Max Tegmark,Length: 13 hrs and 29 mins
The Mists of Avalon,Marion Zimmer Bradley,Length: 50 hrs and 53 mins
The Princess Bride,William Goldman,Length: 2 hrs and 32 mins
The Love Dare,"Stephen Kendrick,Alex Kendrick",Length: 5 hrs and 48 mins
Salt to the Sea,Ruta Sepetys,Length: 8 hrs and 47 mins
La cabeza de mi padre [My Father’s Head],Alma Delia Murillo,Length: 5 hrs and 55 mins
Real Love,Sharon Salzberg,Length: 9 hrs and 25 mins
Heat Wave,TJ Klune,Length: 12 hrs and 49 mins
Anthem,Ayn Rand,Length: 2 hrs and 16 mins
Rickey,Howard Bryant,Length: 18 hrs and 37 mins
Ripped Lace,Nicole Fox,Length: 11 hrs and 31 mins
The Twice-Scorned Lady of Shadow,Annette Marie,Length: 7 hrs and 37 mins
Deep Impact,Kelly Fox,Length: 6 hrs and 7 mins
On Critical Race Theory,Victor Ray,Length: 4 hrs and 25 mins
Kingdom of the Feared,Kerri Maniscalco,Length: 12 hrs
The Scourge Series: The Complete Trilogy,Tom Abrahams,Length: 27 hrs and 5 mins
Thunderstrike & Other Stories,"Richard Strachan,Eric Gregory,David Guymer,Gav Thorpe,C L Werner,Darius Hinks,Robert Rath,Dale Lucas,Jamie Crisalli,Anna Stephens,David Annandale,Michael R Fletcher,Dave Gross,Ben Counter",Length: 21 hrs and 28 mins
If We Break,Kathleen Buhle,Length: 9 hrs and 46 mins
Coyote,J. M. Nelson,Length: 11 hrs and 2 mins
Think and Grow Rich,Napoleon Hill,Length: 9 hrs and 35 mins
"Boundaries, Updated and Expanded Edition","John Townsend,Henry Cloud",Length: 11 hrs and 18 mins
Mafia Mistress,Mila Finelli,Length: 10 hrs and 52 mins
The Hedge Wizard,Alex Maher,Length: 14 hrs and 21 mins
Brain over Binge,Kathryn Hansen,Length: 9 hrs and 59 mins
Hearts Touched with Fire,David Gergen,Length: 9 hrs and 54 mins
Roma soy yo [Rome Is Me],Santiago Posteguillo,Length: 22 hrs and 13 mins
Traced: Human DNA's Big Surprise,Nathaniel T. Jeanson,Length: 7 hrs and 5 mins
The Winners,Fredrik Backman,Length: 23 hrs and 30 mins
Jake's Magical Market,J.R. Mathews,Length: 20 hrs and 41 mins
Be Your Future Self Now,Dr. Benjamin Hardy,Length: 4 hrs and 2 mins
Don't Believe Everything You Think,Joseph Nguyen,Length: 2 hrs and 16 mins
The Crusades,Thomas Asbridge,Length: 25 hrs and 32 mins
The Rising Sun,John Toland,Length: 41 hrs and 9 mins
Phantom Deadfall,"Christopher Hopper,J.N. Chaney",Length: 10 hrs and 29 mins
Emma y las otras señoras del narco [Emma and the Other Narco Ladies],Anabel Hernandez,Length: 8 hrs and 56 mins
The High Sierra,Kim Stanley Robinson,Length: 16 hrs and 30 mins
Under the Skin,Linda Villarosa,Length: 10 hrs and 4 mins
La historia que te cuentas [The Story You Tell Yourself],Paola Herrera,Length: 6 hrs and 49 mins
Manhunt,Gretchen Felker-Martin,Length: 10 hrs and 37 mins
Stolen Focus,Johann Hari,Length: 10 hrs and 13 mins
Nature Wants Us to Be Fat,Richard J. Johnson MD,Length: 9 hrs and 24 mins
Mind Gym,"Gary Mack,David Casstevens",Length: 5 hrs and 27 mins
Born to Be Hanged,Keith Thomson,Length: 9 hrs and 41 mins
Faithfully Different,Natasha Crain,Length: 7 hrs and 12 mins
The Night Whispers,Caroline Mitchell,Length: 8 hrs and 28 mins
A Spanish Sunrise,Boo Walker,Length: 11 hrs and 54 mins
It All Comes Down to This,Therese Anne Fowler,Length: 11 hrs and 37 mins
The Liar's Knot,M. A. Carrick,Length: 23 hrs and 13 mins
Relentless Pursuit,J.T. Baier,Length: 7 hrs and 51 mins
Remarkably Bright Creatures,Shelby Van Pelt,Length: 11 hrs and 16 mins
Force,Cassandra Robbins,Length: 10 hrs and 27 mins
All the Light We Cannot See,Anthony Doerr,Length: 16 hrs and 2 mins
Eat for Energy,"Ari Whitten,Alex Leaf MS",Length: 7 hrs and 27 mins
The Next Ship Home,Heather Webb,Length: 13 hrs and 54 mins
Invisible Storm,Jason Kander,Length: 6 hrs and 47 mins
The Last Lie Told,Debra Webb,Length: 9 hrs and 25 mins
Promises and Pomegranates,Sav R. Miller,Length: 10 hrs and 22 mins
The German Wife,Kelly Rimmer,Length: 13 hrs and 49 mins
A Short History of Nearly Everything,Bill Bryson,Length: 18 hrs and 13 mins
Leviathan Wakes,James S. A. Corey,Length: 20 hrs and 56 mins
The Liching Hour,Rick Gualtieri,Length: 14 hrs and 9 mins
Battlefield of the Mind,Joyce Meyer,Length: 6 hrs and 37 mins
Those Across the River,Christopher Buehlman,Length: 9 hrs and 6 mins
A Room of One's Own,Virginia Woolf,Length: 5 hrs and 1 min
"Calmer, Easier, Happier Boys",Noël Janis-Norton,Length: 12 hrs and 24 mins
Cold Sassy Tree,Olive Ann Burns,Length: 13 hrs and 6 mins
The Now Habit,Neil Fiore Ph.D.,Length: 7 hrs and 29 mins
Terminal Peace,Jim C. Hines,Length: 13 hrs and 16 mins
Out of the Corner,Jennifer Grey,Length: 11 hrs and 19 mins
For You When I Am Gone,Steve Leder,Length: 5 hrs and 2 mins
Coming Up for Air,Tom Daley,Length: 6 hrs and 45 mins
A Single Revolution,Shani Silver,Length: 7 hrs and 24 mins
Do What You Believe,Steve Deace,Length: 2 hrs and 54 mins
Where Is My Flying Car?,J. Storrs Hall,Length: 14 hrs and 1 min
The Temperature of Me and You,Brian Zepka,Length: 11 hrs and 30 mins
Radical Healership,Laura Mae Northrup,Length: 6 hrs and 16 mins
The Secrets of Character,Matt Bird,Length: 8 hrs and 17 mins
You Can Negotiate Anything: How to Get What You Want,Herb Cohen,Length: 7 hrs and 5 mins
Beqoming,"Azrya Bequer,Benjamin Bequer",Length: 12 hrs and 12 mins
Rezoom,"Susan Peirce Thompson PhD,Everett Considine",Length: 9 hrs and 58 mins
It Was All a Dream,Justin Tinsley,Length: 12 hrs and 32 mins
The One Impossible Labyrinth,Matthew Reilly,Length: 10 hrs and 42 mins
Lord of Light,Roger Zelazny,Length: 11 hrs and 30 mins
Mirth & Mayhem Mission Pack 2: Missions 5-8,J.S. Morin,Length: 24 hrs and 11 mins
Third Apocalypse: Volume 1,"Wolfe Locke,Mike Caliban",Length: 10 hrs and 22 mins
Song of the Fae,Tricia O'Malley,Length: 7 hrs and 54 mins
The 10X Mentor,Grant Cardone,Length: 11 hrs and 37 mins
The Sandman: Act II,"Neil Gaiman,Dirk Maggs",Length: 13 hrs and 47 mins
American Cartel,"Scott Higham,Sari Horwitz",Length: 11 hrs and 10 mins
The Sellout,Paul Beatty,Length: 9 hrs and 35 mins
Forged in Steele,Susan Sleeman,Length: 10 hrs and 6 mins
Savage Prince,Sophie Winters,Length: 9 hrs and 46 mins
You Are More Than You Think You Are,Kimberly Snyder,Length: 6 hrs and 39 mins
Last Summer Boys,Bill Rivers,Length: 9 hrs and 17 mins
How Not to Murder Your ADHD Kid,Sarah Templeton,Length: 4 hrs and 36 mins
Heartbreak,Florence Williams,Length: 10 hrs and 37 mins
American Kingpin,Nick Bilton,Length: 12 hrs and 14 mins
Death at the Manor,Katharine Schellman,Length: 9 hrs and 59 mins
Accords,"Dennis Vanderkerken,Dakota Krout",Length: 13 hrs and 43 mins
Wrong Place Wrong Time,Gillian McAllister,Length: 10 hrs and 7 mins
The King's Signet Ring,"Chuck D. Pierce,Alemu Beeftu,Dutch Sheets - foreword",Length: 6 hrs and 14 mins
Murder at Home,Faith Martin,Length: 6 hrs and 53 mins
Raise Your Vibration (New Edition),Kyle Gray,Length: 4 hrs and 49 mins
Tongue Eater,John Bierce,Length: 20 hrs and 2 mins
Secondhand Time,"Svetlana Alexievich,Bela Shayevich - translator",Length: 22 hrs and 58 mins
The End of the World Is Just the Beginning,Peter Zeihan,Length: 16 hrs and 44 mins
On a Quiet Street,Seraphina Nova Glass,Length: 11 hrs and 21 mins
The Salt Fix,Dr. J. DiNicolantonio,Length: 7 hrs and 27 mins
A Head Full of Ghosts,Paul Tremblay,Length: 8 hrs and 49 mins
Celebration of Discipline,Richard J. Foster,Length: 7 hrs and 9 mins
Giovanni's Room,James Baldwin,Length: 6 hrs and 49 mins
The Boy Who Harnessed the Wind,"William Kamkwamba,Bryan Mealer",Length: 10 hrs and 4 mins
Solaris,"Stanislaw Lem,Bill Johnston - translator",Length: 7 hrs and 42 mins
First Blood,David Morrell,Length: 8 hrs and 26 mins
Defending Jacob,William Landay,Length: 12 hrs and 24 mins
The Rent Collector,Camron Wright,Length: 9 hrs and 12 mins
The Woman in the Library,Sulari Gentill,Length: 8 hrs and 58 mins
The Fault in Our Stars,John Green,Length: 7 hrs and 11 mins
Murder Through the English Post,Jessica Ellicott,Length: 9 hrs
"Cold, Cold Bones",Kathy Reichs,Length: 10 hrs and 31 mins
The Many Daughters of Afong Moy,Jamie Ford,Length: 13 hrs and 28 mins
Tokens and Towers 2,Harmon Cooper,Length: 11 hrs and 17 mins
War Transformed,Mick Ryan,Length: 9 hrs and 38 mins
Always Be My Duchess,Amalie Howard,Length: 9 hrs and 43 mins
Chrysalis,Lincoln Child,Length: 9 hrs and 56 mins
Small Giants,Bo Burlingham,Length: 10 hrs and 47 mins
Democracy in Chains,Nancy MacLean,Length: 10 hrs and 53 mins
The Forty Rules of Love,Elif Shafak,Length: 11 hrs and 34 mins
The Structure of Scientific Revolutions,Thomas S. Kuhn,Length: 10 hrs and 14 mins
Punished by Rewards,Alfie Kohn,Length: 13 hrs and 9 mins
Boyd,Robert Coram,Length: 19 hrs and 41 mins
A Crack in Creation,"Jennifer A. Doudna,Samuel H. Sternberg",Length: 9 hrs and 22 mins
Pain Free (Revised and Updated Second Edition),"Pete Egoscue,John Lynch - foreword",Length: 5 hrs and 59 mins
Dauntless,Jack Campbell,Length: 9 hrs and 55 mins
Nimitz at War,Craig L. Symonds,Length: 14 hrs and 26 mins
Noah Wolf Series: Books 17-19,David Archer,Length: 20 hrs and 51 mins
Uniquely Human: Updated and Expanded,"Barry M. Prizant PhD,Tom Fields-Meyer - contributor",Length: 11 hrs and 48 mins
Wild Is the Witch,Rachel Griffin,Length: 8 hrs and 44 mins
The Age of Paradise: Christendom from Pentecost to the First Millennium,John Strickland,Length: 11 hrs and 26 mins
The Book of Awakening,Mark Nepo,Length: 17 hrs and 26 mins
Flyboys,James Bradley,Length: 14 hrs and 22 mins
Thirteen Reasons Why,Jay Asher,Length: 6 hrs and 24 mins
An Astronaut's Guide to Life on Earth,Chris Hadfield,Length: 8 hrs and 45 mins
The Island of Dr. Moreau,H. G. Wells,Length: 5 hrs and 18 mins
Quantum Love,Laura Berman Ph.D.,Length: 11 hrs and 49 mins
The Lucifer Effect,Philip Zimbardo,Length: 26 hrs and 44 mins
The Heart Is a Lonely Hunter,Carson McCullers,Length: 12 hrs and 28 mins
Operation Mincemeat,Ben Macintyre,Length: 11 hrs and 18 mins
The Total Money Makeover,Dave Ramsey,Length: 3 hrs and 41 mins
Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins
Forging Silver into Stars,Brigid Kemmerer,Length: 17 hrs and 28 mins
A Cursed Kiss,Jenny Hickman,Length: 14 hrs
Braiding Sweetgrass,Robin Wall Kimmerer,Length: 16 hrs and 44 mins
Soul in the Game,Vitaliy Katsenelson,Length: 10 hrs and 8 mins
Taking Charge of Your Fertility,Toni Weschler,Length: 10 hrs and 30 mins
Born in Blackness,Howard W. French,Length: 16 hrs and 49 mins
You,Caroline Kepnes,Length: 11 hrs and 6 mins
"Nine Women, One Dress",Jane L. Rosen,Length: 6 hrs and 57 mins
The Gap and the Gain,"Dan Sullivan,Dr. Benjamin Hardy",Length: 5 hrs and 58 mins
The Last to Vanish,Megan Miranda,Length: 9 hrs and 23 mins
Becoming Your Own Banker,R. Nelson Nash,Length: 3 hrs and 56 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
The Heroic Age Trilogy,Rob J. Hayes,Length: 44 hrs and 8 mins
The Island of Dr. Moreau,H. G. Wells,Length: 5 hrs and 18 mins
Quantum Love,Laura Berman Ph.D.,Length: 11 hrs and 49 mins
The Lucifer Effect,Philip Zimbardo,Length: 26 hrs and 44 mins
The Heart Is a Lonely Hunter,Carson McCullers,Length: 12 hrs and 28 mins
Operation Mincemeat,Ben Macintyre,Length: 11 hrs and 18 mins
The Total Money Makeover,Dave Ramsey,Length: 3 hrs and 41 mins
Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins
Forging Silver into Stars,Brigid Kemmerer,Length: 17 hrs and 28 mins
A Cursed Kiss,Jenny Hickman,Length: 14 hrs
Braiding Sweetgrass,Robin Wall Kimmerer,Length: 16 hrs and 44 mins
Soul in the Game,Vitaliy Katsenelson,Length: 10 hrs and 8 mins
Taking Charge of Your Fertility,Toni Weschler,Length: 10 hrs and 30 mins
Born in Blackness,Howard W. French,Length: 16 hrs and 49 mins
You,Caroline Kepnes,Length: 11 hrs and 6 mins
"Nine Women, One Dress",Jane L. Rosen,Length: 6 hrs and 57 mins
The Gap and the Gain,"Dan Sullivan,Dr. Benjamin Hardy",Length: 5 hrs and 58 mins
The Last to Vanish,Megan Miranda,Length: 9 hrs and 23 mins
Becoming Your Own Banker,R. Nelson Nash,Length: 3 hrs and 56 mins
48 Laws of Power,Robert Greene,Length: 23 hrs and 6 mins
The Heroic Age Trilogy,Rob J. Hayes,Length: 44 hrs and 8 mins
